,volume,open,high,low,close,caldt
0,176270660.0,24.675,24.715,23.6325,24.065,2024-01-02
1,167812246.0,23.585,23.77,23.2151,23.295,2024-01-03
2,143735416.0,22.935,23.485,22.865,22.905,2024-01-04
3,170481518.0,22.93,23.46,22.735,22.99,2024-01-05
4,135374148.0,23.195,24.45,23.165,24.375,2024-01-08
5,148431534.0,23.83,24.705,23.805,24.535,2024-01-09
6,147621022.0,24.585,25.205,24.4201,25.02,2024-01-10
7,190228316.0,25.225,25.485,24.2,25.14,2024-01-11
8,128214080.0,25.335,25.49,24.92,25.17,2024-01-12
9,145874028.0,24.94,25.455,24.665,25.155,2024-01-16
10,166554576.0,24.535,24.795,23.935,24.72,2024-01-17
11,182140852.0,25.295,25.86,25.055,25.78,2024-01-18
12,186359474.0,26.16,27.31,26.05,27.27,2024-01-19
13,149656512.0,27.705,27.96,27.2551,27.38,2024-01-22
14,112172002.0,27.505,27.74,27.14,27.705,2024-01-23
15,179718578.0,28.475,28.95,28.0575,28.16,2024-01-24
16,151395204.0,28.63,28.765,27.76,28.24,2024-01-25
17,128382580.0,27.84,28.195,27.59,27.72,2024-01-26
18,115977180.0,27.805,28.6,27.67,28.535,2024-01-29
19,119554438.0,28.345,28.4575,27.8,27.965,2024-01-30
20,203451596.0,27.095,27.492,26.29,26.32,2024-01-31
21,162261462.0,26.645,27.32,26.455,27.25,2024-02-01
22,198504962.0,27.59,28.84,27.395,28.62,2024-02-02
23,139947760.0,28.595,28.71,27.785,28.475,2024-02-05
24,140124224.0,28.69,28.82,27.82,28.31,2024-02-06
25,131823434.0,28.845,29.33,28.585,29.155,2024-02-07
26,98922134.0,29.155,29.445,29.01,29.275,2024-02-08
27,110222006.0,29.515,30.305,29.356,30.135,2024-02-09
28,116254988.0,30.105,30.57,29.6375,29.78,2024-02-12
29,188932910.0,28.12,28.935,27.7175,28.37,2024-02-13
30,156151430.0,28.9,29.375,28.4301,29.27,2024-02-14
31,130057178.0,29.405,29.6051,28.865,29.515,2024-02-15
32,151932942.0,29.58,29.605,28.555,28.705,2024-02-16
33,163321094.0,28.29,28.59,27.275,28.04,2024-02-20
34,154586302.0,27.485,27.71,26.91,27.69,2024-02-21
35,179279230.0,29.39,30.2975,29.2451,30.085,2024-02-22
36,140390800.0,30.415,30.61,29.61,29.81,2024-02-23
37,109875358.0,29.97,30.185,29.715,29.77,2024-02-26
38,109399736.0,29.98,30.045,29.435,29.955,2024-02-27
39,123503396.0,29.515,29.7625,29.2751,29.47,2024-02-28
40,136959760.0,30.04,30.425,29.39,30.18,2024-02-29
41,140959680.0,30.375,31.755,30.365,31.565,2024-03-01
42,120418562.0,31.545,31.64,31.1525,31.19,2024-03-04
43,193206906.0,30.55,30.55,29.01,29.52,2024-03-05
44,181677328.0,30.37,30.713,29.675,30.065,2024-03-06
45,142370894.0,30.775,31.6575,30.457,31.405,2024-03-07
46,296451260.0,31.46,32.065,29.885,30.03,2024-03-08
47,146769956.0,29.705,29.94,29.28,29.68,2024-03-11
48,170559944.0,30.145,31.02,29.48,30.94,2024-03-12
49,143779740.0,30.72,30.7275,29.9844,30.22,2024-03-13
50,162480358.0,30.435,30.55,29.395,29.975,2024-03-14
51,140883816.0,29.345,29.4609,28.6425,28.88,2024-03-15
52,129193746.0,29.94,30.4,29.645,29.695,2024-03-18
53,118809994.0,29.27,29.99,28.8401,29.9,2024-03-19
54,156555918.0,30.035,30.915,29.68,30.85,2024-03-20
55,126541872.0,31.875,31.975,31.21,31.25,2024-03-21
56,91574794.0,31.135,31.585,30.9524,31.315,2024-03-22
57,86669328.0,30.74,31.315,30.53,30.995,2024-03-25
58,93985988.0,31.305,31.505,30.64,30.705,2024-03-26
59,111388644.0,31.285,31.315,30.355,30.975,2024-03-27
60,87023300.0,30.945,31.115,30.7,30.78,2024-03-28
61,112290506.0,30.96,31.495,30.56,30.97,2024-04-01
62,109672728.0,29.935,30.21,29.5005,30.14,2024-04-02
63,111683784.0,29.7,30.73,29.69,30.34,2024-04-03
64,167520380.0,31.175,31.305,28.8701,28.91,2024-04-04
65,154897264.0,29.2,30.4644,29.0275,29.93,2024-04-05
66,89725420.0,30.105,30.33,29.656,29.95,2024-04-08
67,120311874.0,30.405,30.4675,29.2875,30.26,2024-04-09
68,202080508.0,29.18,29.6375,29.03,29.465,2024-04-10
69,146931174.0,29.805,31.03,29.3418,30.85,2024-04-11
70,172589806.0,29.94,30.175,29.06,29.36,2024-04-12
71,203656184.0,30.1,30.115,27.72,27.885,2024-04-15
72,163766110.0,27.845,28.405,27.62,27.89,2024-04-16
73,171026352.0,28.27,28.275,26.675,26.855,2024-04-17
74,172781536.0,26.945,27.28,26.255,26.375,2024-04-18
75,250807644.0,26.14,26.235,24.425,24.74,2024-04-19
76,142604748.0,25.19,25.885,24.585,25.46,2024-04-22
77,151835052.0,25.81,26.8075,25.745,26.595,2024-04-23
78,144316784.0,27.16,27.455,26.4159,26.855,2024-04-24
79,172827294.0,25.45,26.595,25.24,26.425,2024-04-25
80,135994636.0,27.015,27.935,26.885,27.64,2024-04-26
81,102354954.0,28.04,28.1651,27.4375,27.97,2024-04-29
82,125248572.0,27.65,27.925,26.3658,26.3675,2024-04-30
83,208076852.0,26.075,27.4,25.635,25.8,2024-05-01
84,124829898.0,26.46,26.9225,25.6005,26.755,2024-05-02
85,150878038.0,28.165,28.555,27.865,28.35,2024-05-03
86,82530740.0,28.71,29.3,28.5575,29.28,2024-05-06
87,93320382.0,29.36,29.615,29.1415,29.28,2024-05-07
88,78027196.0,28.75,29.5075,28.725,29.225,2024-05-08
89,81439246.0,29.25,29.4997,28.875,29.385,2024-05-09
90,92669698.0,29.68,30.035,29.27,29.585,2024-05-10
91,67722006.0,29.96,29.985,29.4901,29.78,2024-05-13
92,92952862.0,29.68,30.45,29.64,30.335,2024-05-14
93,130481438.0,30.845,31.8075,30.53,31.735,2024-05-15
94,87715240.0,31.68,32.1,31.495,31.54,2024-05-16
95,70099694.0,31.545,31.6775,31.01,31.47,2024-05-17
96,74539022.0,31.51,32.265,31.4725,32.12,2024-05-20
97,62313930.0,31.72,32.335,31.675,32.285,2024-05-21
98,80039376.0,32.345,32.5,31.71,32.265,2024-05-22
99,130877880.0,33.25,33.255,31.4007,31.785,2024-05-23
100,82558026.0,32.125,32.945,31.97,32.675,2024-05-24
101,83186310.0,32.93,33.05,32.4,33.03,2024-05-28
102,79282224.0,32.12,32.72,32.1,32.34,2024-05-29
103,85564766.0,32.125,32.1475,30.995,31.3,2024-05-30
104,143746312.0,31.3,31.445,29.48,31.265,2024-05-31
105,111434962.0,31.865,32.075,30.4809,31.57,2024-06-03
106,88491810.0,31.5,32.065,31.135,31.805,2024-06-04
107,104871438.0,32.56,33.74,32.325,33.725,2024-06-05
108,73031104.0,33.87,33.9375,33.425,33.685,2024-06-06
109,89943346.0,33.56,34.1625,33.31,33.56,2024-06-07
110,72453664.0,33.295,34.03,33.24,33.915,2024-06-10
111,71386734.0,33.66,34.6594,33.33,34.615,2024-06-11
112,124402686.0,35.505,36.51,35.36,35.98,2024-06-12
113,87285010.0,36.785,36.9442,36.035,36.555,2024-06-13
114,71554964.0,36.475,37.105,36.365,37.085,2024-06-14
115,93354592.0,37.14,38.86,36.835,38.43,2024-06-17
116,66433296.0,38.415,38.616,38.03,38.45,2024-06-18
117,105455074.0,38.73,38.83,37.1105,37.545,2024-06-20
118,77712934.0,37.45,37.765,36.861,37.2,2024-06-21
119,93754548.0,36.91,37.315,35.9001,35.94,2024-06-24
120,78608658.0,36.395,37.215,36.185,37.14,2024-06-25
121,72549544.0,36.8,37.35,36.705,37.23,2024-06-26
122,74115476.0,37.16,37.8494,36.96,37.5,2024-06-27
123,107802952.0,37.645,38.765,36.7251,36.91,2024-06-28
124,86557380.0,37.08,37.645,36.21,37.515,2024-07-01
125,74950286.0,37.145,38.69,37.12,38.665,2024-07-02
126,56150486.0,38.475,39.655,38.475,39.615,2024-07-03
